Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Germany,DEU,"Natural capital, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.TO,5410000000,4.28E+09,3.16E+09,2.38E+09
Germany,DEU,"Natural capital, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.TO,0,0,0,0
Germany,DEU,"Natural capital, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.TO,6290000000,4.81E+09,4.42E+09,3.71E+09
Germany,DEU,"Natural capital, protected areas (constant 2018 US$)",NW.NCA.PRAR.TO,49200000000,4.96E+10,4.90E+10,4.83E+10
Germany,DEU,"Natural capital, renewable (constant 2018 US$)",NW.NCA.RNEW.TO,4.56E+11,4.47E+11,4.42E+11,4.39E+11
Germany,DEU,Net foreign assets (constant 2018 US$),NW.NFA.TO,1.57E+12,1.72E+12,2.13E+12,2.23E+12
Germany,DEU,Net foreign assets per capita (constant 2018 US$),NW.NFA.PC,19260.61,20915.14,25788.57,26958.11
Germany,DEU,Produced capital (constant 2018 US$),NW.PCA.TO,2.07E+13,2.09E+13,2.11E+13,2.14E+13
Germany,DEU,Produced capital per capita (constant 2018 US$),NW.PCA.PC,253303.1,253904.1,255774.8,258164.9
Germany,DEU,Total wealth (constant 2018 US$),NW.TOW.TO,5.26E+13,5.35E+13,5.49E+13,5.57E+13
Germany,DEU,Total wealth per capita (constant 2018 US$),NW.TOW.PC,643631.9,649286.7,664766.5,672408
Ghana,GHA,Human capital (constant 2018 US$),NW.HCA.TO,4.42E+11,4.62E+11,5.03E+11,5.34E+11
Ghana,GHA,Human capital per capita (constant 2018 US$),NW.HCA.PC,15885.26,16237.07,17280.77,17951.47
Ghana,GHA,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,3101.641,3160.159,3365.635,3494.159
Ghana,GHA,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,6018.776,6126.478,6524.116,6779.429
